1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.464514		  0.892414		  0.921222		  0.872550		  0.904032		  0.542478		  0.586806
60		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.463549		  0.892935		  0.922227		  0.893210		  0.923387		  0.512580		  0.553819
61		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.460388		  0.896549		  0.923231		  0.880849		  0.908871		  0.541137		  0.588542
62		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.472801		  0.882440		  0.911977		  0.880385		  0.910484		  0.543580		  0.586806
63		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.473077		  0.882995		  0.910772		  0.892315		  0.921774		  0.529531		  0.572917
64		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.468810		  0.888758		  0.917203		  0.885791		  0.912903		  0.541073		  0.579861
65		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.467469		  0.888571		  0.917002		  0.887806		  0.912097		  0.534457		  0.581597
66		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.470731		  0.884609		  0.914389		  0.877301		  0.908065		  0.532537		  0.571181
67		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.465625		  0.890473		  0.920016		  0.887650		  0.915323		  0.573821		  0.623264
68		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.473896		  0.880127		  0.911776		  0.890128		  0.920161		  0.519556		  0.562500
69		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.467795		  0.888095		  0.916801		  0.894779		  0.920968		  0.542433		  0.586806
70		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.462825		  0.895102		  0.925643		  0.874835		  0.903226		  0.558719		  0.604167
71		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.489779		  0.863245		  0.894970		  0.852849		  0.890533		  0.538629		  0.592014
72		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.493715		  0.857829		  0.893676		  0.852126		  0.892751		  0.529020		  0.585069
73		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.498960		  0.849908		  0.893306		  0.867826		  0.910503		  0.510671		  0.572917
74		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.502016		  0.846284		  0.893306		  0.856659		  0.905325		  0.532075		  0.605903
75		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.507635		  0.838885		  0.894046		  0.850172		  0.910503		  0.485823		  0.562500
76		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.505488		  0.840666		  0.901442		  0.821407		  0.889793		  0.501423		  0.586806
77		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.505237		  0.841140		  0.903476		  0.829033		  0.899408		  0.521599		  0.614583
78		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.514167		  0.830440		  0.903107		  0.825391		  0.903107		  0.465360		  0.557292
79		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.471155		  0.884651		  0.916600		  0.890557		  0.918548		  0.519199		  0.557292
80		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.469455		  0.884483		  0.919212		  0.865283		  0.903226		  0.561752		  0.616319
81		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.481274		  0.870093		  0.911776		  0.877796		  0.921774		  0.521141		  0.586806
82		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.480802		  0.869402		  0.915394		  0.870153		  0.918548		  0.542707		  0.609375
83		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.491399		  0.856344		  0.907556		  0.863448		  0.914516		  0.510160		  0.592014
84		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.487958		  0.861384		  0.917805		  0.854292		  0.912903		  0.526160		  0.614583
85		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.496919		  0.849428		  0.911174		  0.842508		  0.910484		  0.536726		  0.628472
86		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.494241		  0.853423		  0.924638		  0.834966		  0.904032		  0.497073		  0.592014
87		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.509361		  0.835090		  0.910571		  0.843135		  0.918548		  0.491040		  0.586806
88		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.514575		  0.827793		  0.904944		  0.829321		  0.909677		  0.499717		  0.595486
89		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.513433		  0.829888		  0.912982		  0.821384		  0.912097		  0.510248		  0.609375
90		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.515838		  0.827150		  0.917805		  0.839001		  0.925806		  0.482502		  0.579861
91		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.516240		  0.827176		  0.921222		  0.816861		  0.912903		  0.486944		  0.593750
92		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.522806		  0.818389		  0.916399		  0.798479		  0.897581		  0.483259		  0.593750
93		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.531940		  0.808029		  0.907154		  0.810400		  0.905645		  0.477894		  0.595486
94		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.530157		  0.810790		  0.915595		  0.807179		  0.911290		  0.487099		  0.602431
95		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.532245		  0.808118		  0.912379		  0.801728		  0.908065		  0.485320		  0.604167
96		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.533068		  0.807885		  0.914791		  0.810722		  0.921774		  0.480379		  0.602431
97		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.535174		  0.805372		  0.921021		  0.795891		  0.918548		  0.467844		  0.595486
98		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.542023		  0.796435		  0.910973		  0.801641		  0.920968		  0.459192		  0.581597
99		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.862592		  0.470168		  0.517391		  0.384569		  0.439655		  0.442813		  0.489198
100		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.900948		  0.424133		  0.467391		  0.425506		  0.482759		  0.438981		  0.486552
101		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.843892		  0.478333		  0.523913		  0.454349		  0.500000		  0.434822		  0.482584
102		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.877394		  0.443557		  0.500000		  0.478228		  0.534483		  0.445181		  0.494268
103		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
